 -1837    795   1255    145    665   -629  -1384   -741    664  -1670     35    233  -1259  -1256   -981    346
  -848    420    875    373    388   -327   -799    382   1360   2079   2352   -124     -7    678   -262   1270
    64    307    675  -2041     20  -2035   -976    620   -373  -1263   2217   1035    611    431    504   2342
  -387     82    515    298   -498   1779  -1725  -2473    552   -464   1335    846    275   -276   1418  -1812
  -113   2241   -623   -695   -116   -861   -285  -1315  -1351   -104  -2767   1071   1566   2202    233    -27
   484   1442  -1106    166   -906    804   -777  -2874  -1273    539   1002  -1068  -2538    874    488   1354
  -783  -1101    347   -554  -2102    514    230    330    698   2385    266   -930  -1219   -289  -2524   1159
  -619    -76   1487    121    451    437     -2   -138   -332   -370  -2029    643    342  -1740   -909    430
  4376     78   4024   -235     14   2827    858   4309   2674   -117    -63   2907   3973    138   2862  -3522
  2244  -1685   1688  -3200   -695    -53   2301   -330    397   1182  -3282    183  -1316  -2507    356   1010
 -2717   -915   -167  -1879   2220   1927   3733   5063   4331   1468    613  -5842  -2018   -622  -2001   2348
  3220  -1138    976   1067   2417   2034  -1025   2441  -1558  -2822  -4596   1774   2672    858   2028  -2140
 -3861   3419  -2566   7424  -1083    524  -4643    932  -1510   -280  -5717   7498  -8312  -4533  -4893 -10929
  3227   1615   -750  -1243    768   4251   -193   -766  -1617   -866   1684   4873  -1558  -2611    348  -2950
   205    819   1831   1017  -4724    259  -2204   1018  -1322   -938  -1736   -386   1045   1347   -532  -2869
  3938  -1197   -677    696    153   3088    899  -3522   -578  -4471   -133   -671  -3243   2242  -2527  -4015
 -1306   3323   -340   2872  -3052    470  -1974  -1621  -3966  -1193  -1519    714    226  -5040  -1099    883
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x
